"wwtp","target","quantile_level","interval_range","interval_coverage","interval_coverage_deviation","quantile_coverage","quantile_coverage_deviation"
"Zurich","RSV",0.3,40,0.43021582733813,0.0302158273381302,0.353237410071942,0.0532374100719425
"Zurich","RSV",0.7,40,0.43021582733813,0.0302158273381302,0.765467625899281,0.0654676258992793
"Zurich","RSV",0.25,50,0.515827338129496,0.0158273381294964,0.31294964028777,0.0629496402877698
"Zurich","RSV",0.75,50,0.515827338129496,0.0158273381294964,0.805755395683453,0.0557553956834532
"Zurich","RSV",0.2,60,0.612230215827338,0.0122302158273376,0.262589928057554,0.0625899280575539
"Zurich","RSV",0.8,60,0.612230215827338,0.0122302158273376,0.846762589928058,0.0467625899280581
"Zurich","RSV",0.15,70,0.697841726618705,-0.00215827338129493,0.222302158273381,0.0723021582733814
"Zurich","RSV",0.85,70,0.697841726618705,-0.00215827338129493,0.884172661870504,0.0341726618705028
"Zurich","RSV",0.1,80,0.792805755395683,-0.00719424460431655,0.172661870503597,0.072661870503597
"Zurich","RSV",0.9,80,0.792805755395683,-0.00719424460431655,0.915827338129496,0.0158273381294966
"Zurich","RSV",0.05,90,0.879856115107914,-0.0201438848920856,0.123741007194245,0.0737410071942452
"Zurich","RSV",0.95,90,0.879856115107914,-0.0201438848920856,0.950359712230216,0.000359712230216084
"Zurich","RSV",0.005,99,0.980575539568345,-0.0094244604316546,0.0705035971223022,0.0655035971223027
"Zurich","RSV",0.995,99,0.980575539568345,-0.0094244604316546,0.994244604316547,-0.000755395683453314
"Lugano","SARS-CoV-2",0.5,0,0,0,0.521668029435814,0.0216680294358136
"Lugano","SARS-CoV-2",0.45,10,0.111201962387572,0.0112019623875706,0.473426001635323,0.023426001635323
"Lugano","SARS-CoV-2",0.55,10,0.111201962387572,0.0112019623875706,0.584627964022895,0.0346279640228949
"Lugano","SARS-CoV-2",0.4,20,0.23221586263287,0.0322158626328678,0.413736713000818,0.0137367130008182
"Lugano","SARS-CoV-2",0.6,20,0.23221586263287,0.0322158626328678,0.645952575633688,0.0459525756336868
"Lugano","SARS-CoV-2",0.35,30,0.334423548650859,0.0344235486508609,0.361406377759608,0.011406377759607
"Lugano","SARS-CoV-2",0.65,30,0.334423548650859,0.0344235486508609,0.695829926410466,0.0458299264104667
"Lugano","SARS-CoV-2",0.3,40,0.414554374488962,0.0145543744889628,0.320523303352412,0.0205233033524122
"Lugano","SARS-CoV-2",0.7,40,0.414554374488962,0.0145543744889628,0.735077677841374,0.0350776778413726
"Lugano","SARS-CoV-2",0.25,50,0.520032706459526,0.0200327064595258,0.264922322158626,0.0149223221586263
"Lugano","SARS-CoV-2",0.75,50,0.520032706459526,0.0200327064595258,0.784955028618152,0.0349550286181521
"Lugano","SARS-CoV-2",0.2,60,0.629599345870809,0.029599345870812,0.209321340964841,0.00932134096484005
"Lugano","SARS-CoV-2",0.8,60,0.629599345870809,0.029599345870812,0.83892068683565,0.038920686835652
"Lugano","SARS-CoV-2",0.15,70,0.707277187244481,0.00727718724447861,0.165985282093213,0.015985282093214
"Lugano","SARS-CoV-2",0.85,70,0.707277187244481,0.00727718724447861,0.873262469337694,0.023262469337693
"Lugano","SARS-CoV-2",0.1,80,0.780866721177432,-0.019133278822567,0.129190515126738,0.0291905151267371
"Lugano","SARS-CoV-2",0.9,80,0.780866721177432,-0.019133278822567,0.91005723630417,0.0100572363041709
"Lugano","SARS-CoV-2",0.05,90,0.887980376124285,-0.0120196238757146,0.0678659035159444,0.017865903515944
"Lugano","SARS-CoV-2",0.95,90,0.887980376124285,-0.0120196238757146,0.955846279640229,0.00584627964022935
"Lugano","SARS-CoV-2",0.005,99,0.976287816843827,-0.0137121831561734,0.0130825838103025,0.00808258381030257
"Lugano","SARS-CoV-2",0.995,99,0.976287816843827,-0.0137121831561734,0.989370400654129,-0.00562959934587082
"Lugano","IAV",0.5,0,0.114965312190287,0.114965312190287,0.504459861248761,0.00445986124876115
"Lugano","IAV",0.45,10,0.193260654112983,0.0932606541129831,0.480673934588702,0.0306739345887018
"Lugano","IAV",0.55,10,0.193260654112983,0.0932606541129831,0.54410307234886,-0.00589692765113924
"Lugano","IAV",0.4,20,0.270564915758176,0.0705649157581759,0.45589692765114,0.0558969276511404
"Lugano","IAV",0.6,20,0.270564915758176,0.0705649157581759,0.588701684836472,-0.0112983151635291
"Lugano","IAV",0.35,30,0.356788899900892,0.0567888999008928,0.422200198216055,0.0722001982160551
"Lugano","IAV",0.65,30,0.356788899900892,0.0567888999008928,0.638255698711596,-0.0117443012884035
"Lugano","IAV",0.3,40,0.430128840436075,0.0301288404360754,0.401387512388503,0.101387512388504
"Lugano","IAV",0.7,40,0.430128840436075,0.0301288404360754,0.689791873141725,-0.010208126858276
"Lugano","IAV",0.25,50,0.508424182358771,0.00842418235877106,0.367690782953419,0.117690782953419
"Lugano","IAV",0.75,50,0.508424182358771,0.00842418235877106,0.734390485629336,-0.015609514370664
"Lugano","IAV",0.2,60,0.622398414271556,0.0223984142715569,0.33201189296333,0.132011892963329
"Lugano","IAV",0.8,60,0.622398414271556,0.0223984142715569,0.809712586719524,0.00971258671952499
"Lugano","IAV",0.15,70,0.709613478691774,0.00961347869177228,0.304261645193261,0.15426164519326
"Lugano","IAV",0.85,70,0.709613478691774,0.00961347869177228,0.867195242814668,0.0171952428146672
